DATA;ANNO;MESE;GIORNO_SETT;E_FESTIVO
2023-01-01;2023;1;6;S
2023-01-08;2023;1;6;S
2023-01-15;2023;1;6;S
2023-01-22;2023;1;6;S
2023-01-29;2023;1;6;S
2023-02-05;2023;2;6;S
2023-02-12;2023;2;6;S
2023-02-19;2023;2;6;S
2023-02-26;2023;2;6;S
2023-03-05;2023;3;6;S
2023-03-12;2023;3;6;S
2023-03-19;2023;3;6;S
2023-03-26;2023;3;6;S
2023-04-02;2023;4;6;S
2023-04-09;2023;4;6;S
2023-04-16;2023;4;6;S
2023-04-23;2023;4;6;S
2023-04-30;2023;4;6;S
2023-05-07;2023;5;6;S
2023-05-14;2023;5;6;S
2023-05-21;2023;5;6;S
2023-05-28;2023;5;6;S
2023-06-04;2023;6;6;S
2023-06-11;2023;6;6;S
2023-06-18;2023;6;6;S
2023-06-25;2023;6;6;S
