ID_SCONTRINO;ID_CLIENTE;ID_ARTICOLO;DATA;QTA_PESO;QTA_PEZZI;IMPORTO
S0001;7837;2007;2023-01-05;1.2;0;20.0
S0002;7837;2010;2023-01-05;0.8;0;20.0
S0003;7837;2011;2023-01-05;0.5;0;20.0
S0004;7837;2002;2023-01-05;0.0;3;5.0
S0005;7837;2001;2023-01-05;0.0;1;0.2
S0006;7837;2007;2023-02-05;1.2;0;20.0
S0007;7837;2010;2023-02-05;0.8;0;20.0
S0008;7837;2011;2023-02-05;0.5;0;20.0
S0009;7837;2002;2023-02-05;0.0;3;5.0
S0010;7837;2001;2023-02-05;0.0;1;0.2
S0011;7837;2007;2023-03-05;1.2;0;20.0
S0012;7837;2010;2023-03-05;0.8;0;20.0
S0013;7837;2011;2023-03-05;0.5;0;20.0
S0014;7837;2002;2023-03-05;0.0;3;5.0
S0015;7837;2001;2023-03-05;0.0;1;0.2
S0016;7837;2008;2023-03-05;1.0;0;15.0
S0017;7837;2007;2023-04-05;1.2;0;40.0
S0018;7837;2010;2023-04-05;0.8;0;10.0
S0019;7837;2011;2023-04-05;0.5;0;10.0
S0020;7837;2002;2023-04-05;0.0;3;5.0
S0021;7837;2001;2023-04-05;0.0;1;0.2
S0022;7837;2008;2023-04-05;1.0;0;15.0
S0023;7837;2007;2023-05-05;1.2;0;50.0
S0024;7837;2010;2023-05-05;0.8;0;10.0
S0025;7837;2002;2023-05-05;0.0;3;5.0
S0026;7837;2001;2023-05-05;0.0;1;0.2
S0027;7837;2007;2023-06-05;1.2;0;60.0
S0028;7837;2002;2023-06-05;0.0;3;5.0
S0029;7837;2001;2023-06-05;0.0;1;0.2
S0030;7837;2008;2023-06-05;1.0;0;15.0
S0031;1001;2003;2023-01-10;0.0;2;3.5
S0032;1001;2005;2023-01-10;0.4;0;7.0
S0033;1001;2003;2023-02-10;0.0;2;3.5
S0034;1001;2005;2023-02-10;0.4;0;7.0
S0035;1001;2009;2023-02-10;0.7;0;10.0
S0036;1001;2003;2023-03-10;0.0;2;3.5
S0037;1001;2005;2023-03-10;0.4;0;7.0
S0038;1001;2003;2023-04-10;0.0;2;3.5
S0039;1001;2005;2023-04-10;0.4;0;7.0
S0040;1001;2009;2023-04-10;0.7;0;10.0
S0041;1001;2003;2023-05-10;0.0;2;3.5
S0042;1001;2005;2023-05-10;0.4;0;7.0
S0043;1001;2003;2023-06-10;0.0;2;3.5
S0044;1001;2005;2023-06-10;0.4;0;7.0
S0045;1001;2009;2023-06-10;0.7;0;10.0
S0046;1002;2004;2023-01-12;0.0;1;2.0
S0047;1002;2012;2023-01-12;0.5;0;6.0
S0048;1002;2004;2023-02-12;0.0;1;2.0
S0049;1002;2012;2023-02-12;0.5;0;6.0
S0050;1002;2004;2023-05-12;0.0;1;2.0
S0051;1002;2012;2023-05-12;0.5;0;6.0
S0052;1003;2006;2023-03-15;0.6;0;-5.0
S0053;1004;2008;2023-02-20;1.1;0;14.0
S0054;1004;2002;2023-02-20;0.0;4;6.0
S0055;1004;2008;2023-06-20;1.1;0;14.0
S0056;1004;2002;2023-06-20;0.0;4;6.0
S0057;1005;2011;2023-04-18;0.3;-1;3.0
S0058;1005;2001;2023-04-18;0.0;2;0.4
S0059;1006;2007;2023-05-25;-0.5;0;8.0
