year,production_kwh,revenue_eur,o_and_m_plus_repl_eur,net_cashflow_eur,discount_factor,discounted_cashflow_eur,cumulative_cashflow_eur
0,0.0,0.0,0.0,-27500.0,1.0,-27500.0,-27500.0
1,31536.0,5676.48,300.0,5376.48,0.9434,5072.15,-22123.52
2,31378.3,5704.58,300.0,5404.58,0.89,4810.06,-16718.94
3,31221.4,5732.82,300.0,5432.82,0.8396,4561.5,-11286.12
4,31065.3,5761.19,300.0,5461.19,0.7921,4325.78,-5824.93
5,30910.0,5789.71,300.0,5489.71,0.7473,4102.23,-335.22
6,30755.4,5818.37,300.0,5518.37,0.705,3890.23,5183.15
7,30601.7,5847.17,300.0,5547.17,0.6651,3689.19,10730.32
8,30448.7,5876.12,300.0,5576.12,0.6274,3498.52,16306.44
9,30296.4,5905.2,300.0,5605.2,0.5919,3317.71,21911.64
10,30144.9,5934.43,300.0,5634.43,0.5584,3146.24,27546.07
11,29994.2,5963.81,300.0,5663.81,0.5268,2983.62,33209.88
12,29844.2,5993.33,2300.0,3693.33,0.497,1835.47,36903.21
13,29695.0,6023.0,300.0,5723.0,0.4688,2683.16,42626.21
14,29546.5,6052.81,300.0,5752.81,0.4423,2544.47,48379.02
15,29398.8,6082.77,300.0,5782.77,0.4173,2412.95,54161.79
16,29251.8,6112.88,300.0,5812.88,0.3936,2288.22,59974.67
17,29105.6,6143.14,300.0,5843.14,0.3714,2169.93,65817.81
18,28960.0,6173.55,300.0,5873.55,0.3503,2057.76,71691.36
19,28815.2,6204.11,300.0,5904.11,0.3305,1951.38,77595.47
20,28671.2,6234.82,300.0,5934.82,0.3118,1850.5,83530.29
21,28527.8,6265.68,300.0,5965.68,0.2942,1754.84,89495.97
22,28385.2,6296.69,300.0,5996.69,0.2775,1664.11,95492.66
23,28243.2,6327.86,300.0,6027.86,0.2618,1578.08,101520.52
24,28102.0,6359.19,300.0,6059.19,0.247,1496.49,107579.71
25,27961.5,6390.66,300.0,6090.66,0.233,1419.12,113670.37
